pair_address,time,tokenA,t0_symbol,t0_blockchain,tokenB,t1_symbol,t1_blockchain
0xb122ab04a91145474db01027992c11cff72831f7,3/20/2023 13:58,0x6b44dacbe7672bac1f59d50de64d4a0228324371,ORKA,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x42db00ace9490c73831e9f802525eb3fd23eb875,2/13/2022 5:01,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xba0216254163b57af68b7161cf824dbadcad61df,1/13/2022 8:30,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,DAI,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xb8a5a818b8e3030a8cf9203c44f4b94198bed1f9,1/26/2023 2:20,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,WBTC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x3c309414c174ca2ba0a68e0eccb15a233bc3ed8a,5/9/2023 3:19,0x6b44dacbe7672bac1f59d50de64d4a0228324371,ORKA,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xf136762fb27ac65e86ab337e5eea1c32f8fe803d,11/24/2022 2:26,0x8f006d1e1d9dc6c98996f50a4c810f17a47fbf19,NSFW,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x4ff1bf67727e623fbc1d44a005a3fe31c756fe0c,11/14/2022 23:10,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,DAI,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x2ef7246ee624aaf0cc19f98cbd4fd31392a938f8,11/24/2022 21:08,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x761513e761c8dda1863c948d5758d54984da46f7,11/1/2022 19:11,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x9064b96a124924ee3516072a78bf18dc22aa24b0,1/25/2023 8:51,0x462d8d82c2b2d2ddabf7f8a93928de09d47a5807,BzB,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x2ed878ef6fa6dc4715bcbeb0de1bb1d7e0e66f4a,10/27/2022 19:23,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,DAI,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xadd7ee56650d50b582cdaadc7e761799df113160,5/23/2022 13:40,0x7075cab6bcca06613e2d071bd918d1a0241379e2,GFARM2,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x4d0b8fba429882f4ec58cc04ebeda8c8abcb4ceb,10/29/2022 0:58,0x7075cab6bcca06613e2d071bd918d1a0241379e2,GFARM2,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xdfd60e0296af5c35678866a81f53c068293fe978,1/30/2023 2:12,0xb33eaad8d922b1083446dc23f610c2567fb5180f,UNI,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x47afe6797053236587219aec33c2bec1295e8183,10/4/2022 21:13,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xdae22b8bf3903a50821b30b56c5be49da00e49dd,2/22/2023 17:12,0x958d208cdf087843e9ad98d23823d32e17d723a1,dQUICK,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x1d71a7ea86358a9b11d0d7ed5fe970cdd66b546f,10/26/2022 16:47,0x8f006d1e1d9dc6c98996f50a4c810f17a47fbf19,NSFW,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xbb68fda8854c1907d8977cc8178c4fe007255186,11/26/2022 4:40,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0xf687db8246462bedc69f5ebc588678101fe2a88b,BOTB,polygon
0xf818f2be8ffa38bdcd88ed0e0dbde733bb880367,11/5/2022 4:09,0x7075cab6bcca06613e2d071bd918d1a0241379e2,GFARM2,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xce0bbb1e51ee21cde86257593f29cbd9a60ca97a,10/25/2022 21:41,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,WETH,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xc77cfae1506852ac220721155962eccea839485b,2/1/2023 19:00,0x39ab6574c289c3ae4d88500eec792ab5b947a5eb,DYST,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x516a04722d85fb216fa135b5b01bac60920e39c3,9/30/2022 2:50,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xf559f2c734b2b50a4170db19cfb9ea63be029dc6,1/22/2023 10:46,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,LINK,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xf8a609488afa66f2fda0cf5c1cfee9610d062fd7,12/6/2022 7:30,0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4,stMATIC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x32a222f69d00e717845a3d857d0392d6a25a2acd,9/28/2022 15:22,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x3a1257c9909e84e88e6e3f42a748e4e0aac905ca,1/15/2023 19:32,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0xeafe31cd9e8e01c8f0073a2c974f728fb80e9dce,NZDS,polygon
0xefa98fdf168f372e5e9e9b910fcdfd65856f3986,12/24/2021 0:50,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x24d59117a8ef6ecbb3a59873327dbc7e2c95b3c1,11/2/2022 16:42,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,LINK,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xee9c67ba64c2673813f34ee672032f4271edbb53,2/18/2023 22:08,0xa3fa99a148fa48d14ed51d610c367c61876997f1,miMATIC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xb5ec51eaf8bae7f8369d504c256aed8b751bad1a,10/27/2022 19:34,0x7075cab6bcca06613e2d071bd918d1a0241379e2,GFARM2,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xd39f5bbea894ff12c4f287855b5430d9c33734ed,5/8/2022 13:16,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,WBTC,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xb3a157e26ebae072bc6a9f4307325d32393a91a2,3/24/2023 1:30,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,mXEN,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x0cbab6b7cd05f92b22930286a95fd6df9dbc3f86,2/24/2023 0:11,0x50b728d8d964fd00c2d0aad81718b71311fef68a,SNX,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x15fef06b061ace438aa45e8d0ec1883ea6e47d35,12/4/2022 19:09,0xb7b31a6bc18e48888545ce79e83e06003be70930,APE,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0xfc469d13542e70f1512569ebf60c1e8fa01b6931,8/31/2022 1:18,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,WETH,polygon,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon
0x6c39b6caaa41e3894c68416a6ecd908ecd1bdb2b,5/14/2023 15:38,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0xfa1aaf2f4464f89eaa852d96ff9374fe20c10309,LFG,polygon
0x5d1e23160ed81f33dfae40ed72dd4377c198ddaf,,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0xa3fa99a148fa48d14ed51d610c367c61876997f1,miMATIC,polygon
0xa56796f13566c515471a2fbbab731f88ce5de428,,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,DAI,polygon
0x384d2094d0df788192043a1cbd200308dd60b068,,0xe5417af564e4bfda1c483642db72007871397896,GNS,polygon,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,polygon
